Code Commune,Commune,Code QPV,Nom QPV,Département,Région,Statut géo,Code,Fédération,Clubs,EPA,Total
01004,Ambérieu-en-Bugey,HZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01022,Artemare,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01024,Attignat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01033,Valserhône,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01053,Bourg-en-Bresse,HZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,2,1,3
01072,Ceyzériat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01073,Ceyzérieu,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01093,Châtillon-sur-Chalaronne,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01115,Confrançon,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01136,Cruzilles-lès-Mépillat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01138,Culoz-Béon,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01141,Cuzieu,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01163,Foissiat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01173,Gex,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01192,Izernore,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01194,Jassans-Riottier,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01202,Lagnieu,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01232,Marboz,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01244,Meximieux,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01248,Mionnay,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01258,Montceaux,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01262,Montluel,HZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01283,Oyonnax,HZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01289,Péronnas,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01320,Replonges,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01322,Reyrieux,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01333,Saint-André-de-Corcy,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01335,Saint-André-le-Bouchoux,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01363,Saint-Jean-le-Vieux,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01378,Saint-Maurice-de-Gourdans,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01384,Saint-Rambert-en-Bugey,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01385,Saint-Rémy,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01412,Sulignat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01443,Villars-les-Dombes,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01451,Viriat,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
01457,Vonnas,CSZ,,01,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
02018,Anizy-le-Grand,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02037,Aulnois-sous-Laon,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02064,Belleu,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02095,Bohain-en-Vermandois,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02168,Château-Thierry,HZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02173,Chauny,HZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02259,Dampleux,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02340,Gauchy,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02355,Gricourt,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02359,Grugies,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02361,Guise,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02676,Saint-Erme-Outre-et-Ramecourt,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02684,Saint-Michel,CSZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02691,Saint-Quentin,HZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,3,0,3
02691,Saint-Quentin,QP002001,Europe,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,1,2
02722,Soissons,HZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
02738,Tergnier,HZ,,02,Hauts-de-France,1.Champ geoc,105,FF de Basketball,1,0,1
03023,Bellerive-sur-Allier,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,1,2
03036,Bourbon-l'Archambault,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03082,Commentry,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03094,Creuzier-le-Vieux,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03095,Cusset,QP003001,Coeur D'Agglo,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03098,Désertines,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03102,Dompierre-sur-Besbre,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03104,Doyet,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03118,Gannat,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03138,Lapalisse,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03185,Montluçon,HZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03190,Moulins,HZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03254,Saint-Pourçain-sur-Sioule,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03264,Saint-Yorre,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03298,Varennes-sur-Allier,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03301,Vaux,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03310,Vichy,HZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
03321,Yzeure,CSZ,,03,Auvergne-Rhône-Alpes,1.Champ geoc,105,FF de Basketball,1,0,1
04019,Barcelonnette,CSZ,,04,Provence-Alpes-Côte d'Azur,1.Champ geoc,105,FF de Basketball,1,0,1
04049,Château-Arnoux-Saint-Auban,CSZ,,04,Provence-Alpes-Côte d'Azur,1.Champ geoc,105,FF de Basketball,1,0,1
04070,Digne-les-Bains,HZ,,04,Provence-Alpes-Côte d'Azur,1.Champ geoc,105,FF de Basketball,1,0,1
04088,Forcalquier,CSZ,,04,Provence-Alpes-Côte d'Azur,1.Champ geoc,105,FF de Basketball,1,0,1
